Category,食物名称,能量,热量,蛋白质,脂肪,碳水化合物,成本
,贝贝南瓜,,78 ,1.9,0.3,20.6,2.6
,白薯,,106 ,1.4,0.2,25.2,2.3
,红薯,,86 ,1.6,0.1,20.1,2.3
,桃子,,42 ,0.6,0.1,10.1,2.9
,无米寿司卷,377,90 ,6.5,4.2,3.8,10
,磨状元包浆豆腐,,122 ,11.7,7.9,1.2,6.4
,牛肉丸,594,142 ,20.2,5.8,2.1,7.3
,墨鱼丸,485,116 ,15.6,1.3,10.2,7.5
,虾丸,439,105 ,12.3,0.8,11.5,9.4
,杨梅,117,28 ,0.8,0.2,5.7,5.8
,杏,151,36 ,0.9,0.1,7.8,5.4
谷类及制品,籼米粥,251,60,1.3,0.2,13.4,0.5
谷类及制品,玉米(鲜),474,114,4,1.2,22.8,0.6
谷类及制品,玉米(白，干),1488,357,8.8,3.8,74.7,1.2
谷类及制品,玉米(黄，干),1472,353,8.7,3.8,73,1.1
谷类及制品,玉米面(白),1489,357,8,4.5,73.1,1.5
谷类及制品,玉米面(黄),1488,357,8.1,3.3,75.2,1.4
谷类及制品,玉米糁(黄),1498,359,7.9,3,75.6,1.3
谷类及制品,玉米笋(罐头),65,16,1.1,0.2,4.9,2.5
谷类及制品,大麦[元麦],1382,331,10.2,1.4,73.3,1.8
谷类及制品,青稞,1452,348,8.1,1.5,75,2
谷类及制品,小米,1530,367,9,3.1,75.1,2.5
谷类及制品,小米面,1515,363,7.2,2.1,77.7,2.8
谷类及制品,小米粥,193,46,1.4,0.7,8.4,0.6
谷类及制品,大黄米[黍子],1508,362,13.6,2.7,71.1,2.2
谷类及制品,黄米,1488,357,9.7,1.5,76.9,2.3
谷类及制品,高粱米,1523,365,10.4,3.1,74.7,1.6
谷类及制品,糜子(带皮),1422,341,10.6,0.6,75.1,1.5
谷类及制品,苦荞麦粉,1335,320,9.7,2.7,66,3
谷类及制品,荞麦,1426,342,9.3,2.3,73,2.8
谷类及制品,莜麦面,1585,380,12.2,7.2,67.8,3.2
谷类及制品,薏米[薏仁米，苡米],1530,367,12.8,3.3,71.1,3.5
谷类及制品,薏米面,1487,357,11.3,2.4,73.5,3.8
薯类、淀粉及制品,马铃薯[土豆，洋芋],328,79,2,0.2,17.2,0.7
薯类、淀粉及制品,马铃薯粉,1444,346,7.2,0.5,77.4,2
薯类、淀粉及制品,甘薯(白心)[红皮山芋],451,108,1.4,0.2,25.2,0.6
薯类、淀粉及制品,甘薯(红心)[山芋，红薯],432,104,1.1,0.2,24.7,0.5
薯类、淀粉及制品,甘薯片[白薯干],1460,350,4.7,0.8,80.5,1.5
薯类、淀粉及制品,甘薯粉[地瓜粉],1428,342,2.7,0.2,80.9,1.2
薯类、淀粉及制品,木薯,505,121,2.1,0.3,27.8,0.8
薯类、淀粉及制品,玉米淀粉,1468,352,1.2,0.1,85,1
谷类及制品,面条(干切面),1510,362,11,0.1,77.7,1.5
谷类及制品,通心面[通心粉],1491,358,11.9,0.1,75.8,2
谷类及制品,花卷,908,218,6.4,1,45.6,1
谷类及制品,空锅饼,1183,284,8.6,0.2,60.9,1.2
谷类及制品,烙饼(标准粉),1095,263,7.5,2.3,52.9,1.5
谷类及制品,馒头(均值),947,227,7,1.1,47,0.8
谷类及制品,馒头(标准粉),1003,241,7.8,1,49.8,0.7
谷类及制品,馒头(富强粉),892,214,6.2,1.2,44.2,0.9
薯类、淀粉及制品,团粉[芡粉],1484,356,1.5,,85.8,1.2
薯类、淀粉及制品,藕粉,1584,380,0.2,,93,2.5
薯类、淀粉及制品,魔芋精粉[鬼芋粉，南星粉],752,180,4.6,0.1,78.8,3
薯类、淀粉及制品,粉丝,1434,344,0.8,0.2,83.7,1.5
薯类、淀粉及制品,粉条,1438,345,0.5,0.1,84.2,1.2
干豆类及制品,绿豆(干),1393,334,21.6,0.8,62,1.8
干豆类及制品,赤小豆[小豆，红小豆](干),1374,329,20.2,0.6,63.4,2
干豆类及制品,小豆粥,263,63,1.2,0.4,13.7,0.6
干豆类及制品,豆沙,1044,250,5.5,1.9,52.7,1.5
干豆类及制品,红豆沙,1035,248,4.5,0.1,57.1,1.6
干豆类及制品,红豆馅,1108,266,4.5,0.2,61.7,1.8
干豆类及制品,花豆(干，红),1389,333,19.1,1.3,62.7,2.2
干豆类及制品,花豆(干，紫),1396,335,17.2,1.4,65.8,2.3
谷类及制品,烧饼(加糖),1261,302,8,2.1,62.7,1.5
谷类及制品,油饼,1684,404,7.9,22.9,42.4,2
谷类及制品,油条,1627,390,6.9,17.6,51,2.5
谷类及制品,水面筋,604,145,23.5,0.1,12.3,1
谷类及制品,油面筋,2061,494,26.9,25.1,40.4,1.5
谷类及制品,稻米(均值),1473,353,7.4,0.8,77.9,1.2
谷类及制品,粳米(标一),1464,351,7.7,0.6,77.4,1.5
谷类及制品,籼米(标准)[机米],1480,355,7.9,0.6,78.3,1.1
蔬菜类及制品,茄子(圆),133,32,1.6,0.2,6.7,1.2
蔬菜类及制品,茄子(紫皮，长),95,23,1,0.1,5.4,1.1
蔬菜类及制品,番茄[西红柿],86,21,0.9,0.2,4,1.2
蔬菜类及制品,奶柿子[西红柿],61,15,0.6,0.1,3.2,1.5
蔬菜类及制品,辣椒(红，尖，干),1220,293,15,12,52.7,5
蔬菜类及制品,辣椒(红，小),159,38,1.3,0.4,8.9,2
蔬菜类及制品,辣椒(青，尖),115,28,1.4,0.3,5.8,1.5
蔬菜类及制品,甜椒[灯笼椒，柿子椒],104,25,1,0.2,5.4,1.8
蔬菜类及制品,油豆角[多花菜豆](鲜),104,25,2.4,0.3,3.9,2.5
蔬菜类及制品,芸豆(鲜),124,30,0.8,0.1,7.4,2.2
蔬菜类及制品,豇豆,140,34,2.9,0.3,5.9,1.2
蔬菜类及制品,豇豆(长),136,33,2.7,0.2,5.8,1.3
蔬菜类及制品,黄豆芽,199,48,4.5,1.6,4.5,0.6
蔬菜类及制品,绿豆芽,82,20,2.1,0.1,2.9,0.5
蔬菜类及制品,豌豆苗,159,38,4,0.8,4.6,2
蔬菜类及制品,茄子(均值),98,24,1.1,0.2,4.9,1.2
干豆类及制品,眉豆[饭豇豆](干),1413,339,18.6,1.1,65.6,2.5
干豆类及制品,豇豆(干),1424,341,19.3,1.2,65.6,2
干豆类及制品,豌豆(干),1411,338,20.3,1.1,65.8,2.2
干豆类及制品,鹰嘴豆[桃豆],1431,343,21.2,4.2,60,3
干豆类及制品,荆豆(干),1708,410,43.6,14.3,28.5,2.8
蔬菜类及制品,豆角,145,35,2.5,0.2,6.7,1.5
蔬菜类及制品,"豆角(鲜,白)",147,35,2.2,0.2,7.4,1.6
蔬菜类及制品,荷兰豆,124,30,2.5,0.3,4.9,2.5
蔬菜类及制品,龙豆(鲜),149,36,3.7,0.5,5,3
蔬菜类及制品,毛豆[青豆，菜用大豆](鲜),550,132,13.1,5,10.5,1.4
蔬菜类及制品,四季豆[菜豆],132,32,2,0.4,5.7,1.5
蔬菜类及制品,"豌豆(带荚,鲜)[回回豆]",470,113,7.4,0.3,21.2,2
蔬菜类及制品,豌豆尖,969,232,3.1,,53.9,2.2
干豆类及制品,豆腐皮,1720,412,44.6,17.4,18.8,2
干豆类及制品,油豆腐,1018,244,17,17.6,4.9,1.5
干豆类及制品,腐竹,1931,463,44.6,21.7,22.3,3
干豆类及制品,千张[百页],1093,262,24.5,16,5.5,2.5
干豆类及制品,豆腐干(均值),597,143,16.2,3.6,11.5,1.5
干豆类及制品,素鸡,806,193,16.5,12.5,4.2,1.2
干豆类及制品,素什锦,739,177,14,10.2,8.3,2
干豆类及制品,烤麸,514,123,20.4,0.3,9.3,1.5
谷类及制品,香大米,1475,354,12.7,0.9,72.4,1.8
谷类及制品,籼米,1441,346,7.5,1.1,78,1
谷类及制品,糯米[江米](均值),1485,356,7.3,1,78.3,2
谷类及制品,紫红糯米[血糯米],1468,352,8.3,1.7,75.1,2.5
谷类及制品,米饭(蒸)(均值),493,118,2.6,0.3,25.9,0.5
谷类及制品,粳米粥,197,47,1.1,0.3,9.9,0.6
谷类及制品,籼米粉[排米粉],1512,363,7.4,0.1,81.5,1.5
谷类及制品,籼米粉(干，细),1470,353,8,0.1,78.3,1.6
蔬菜类及制品,心里美萝卜,97,23,0.8,0.2,4.9,0.8
蔬菜类及制品,胡萝卜(红)[金笋，丁香萝卜],164,39,1,0.2,8.8,1
蔬菜类及制品,胡萝卜(黄),193,46,1.4,0.2,10.2,0.9
蔬菜类及制品,芥菜头[大头菜，水芥],153,37,1.9,0.2,7.4,1.2
蔬菜类及制品,苤蓝[玉蔓菁，球茎甘蓝],137,33,1.3,0.2,7,1.5
蔬菜类及制品,甜菜根[甜菜头，糖萝卜](鲜),367,88,1,0.1,23.5,2
蔬菜类及制品,扁豆[月亮菜],174,42,2.7,0.2,8.2,2.5
蔬菜类及制品,刀豆(鲜),167,40,3.1,0.3,7,2.2
蔬菜类及制品,白萝卜[莱菔](鲜),95,23,0.9,0.1,5,0.5
蔬菜类及制品,变萝卜[红皮萝卜],122,29,1.2,0.1,6.4,0.6
蔬菜类及制品,红旦旦萝卜,87,21,0.8,,4.3,0.7
蔬菜类及制品,红萝卜,92,22,1,0.1,4.6,0.8
蔬菜类及制品,红心萝卜,187,45,1.2,,9.8,0.9
蔬菜类及制品,青萝卜,138,33,1.3,0.2,6.8,0.6
蔬菜类及制品,水萝卜[脆萝卜],107,26,0.8,,5.5,0.7
蔬菜类及制品,小水萝卜[算盘子，红皮萝卜],88,21,1.1,0.2,4.2,0.8
干豆类及制品,芸豆(干，白),1334,320,23.4,1.4,57.2,2.2
干豆类及制品,芸豆(干，红),1400,336,21.4,1.3,62.5,2.3
干豆类及制品,芸豆(干，虎皮),1447,347,22.5,0.9,62.5,2.4
干豆类及制品,芸豆(干，杂，带皮),1385,332,22.4,0.6,63.3,2.1
干豆类及制品,蚕豆(带皮),1379,331,24.6,1.1,59.9,2.5
干豆类及制品,蚕豆(去皮),1470,353,25.4,1.6,58.9,2.8
干豆类及制品,扁豆(干),1439,345,25.3,0.4,61.9,2.6
干豆类及制品,扁豆(干，白),1196,287,19,1.3,55.6,2.7
干豆类及制品,黄豆[大豆],1629,391,35,16,34.2,2.5
干豆类及制品,黑豆[黑大豆](干),1680,403,36,15.9,33.6,3
干豆类及制品,青豆[青大豆](干),1667,400,34.5,16,35.4,2.8
干豆类及制品,黄豆粉,1809,434,32.7,18.3,37.6,2
干豆类及制品,豆腐花[豆腐粉],1699,407,10,2.6,84.3,1.5
干豆类及制品,豆浆粉,1798,431,19.7,9.4,66.8,1.2
干豆类及制品,豆粕,1376,330,42.5,2.1,37.9,1
干豆类及制品,豆腐(均值),342,82,8.1,3.7,4.2,1
谷类及制品,小麦粉(标准粉),1478,354,11.2,1.5,73.6,1
谷类及制品,小麦粉(富强粉，特一粉),1489,357,10.3,1.1,75.2,1.2
谷类及制品,挂面(均值),1476,354,10.3,0.6,75.6,1.5
谷类及制品,挂面(标准粉),1475,354,10.1,0.7,76,1.4
谷类及制品,挂面(富强粉),1475,354,9.6,0.6,76,1.6
谷类及制品,面条(均值),1212,291,8.3,0.7,61.9,1.5
谷类及制品,面条(标准粉，切面),1202,288,8.5,1.6,59.5,1.4
谷类及制品,面条(富强粉，切面),1214,291,9.3,1.1,59.9,1.6
干豆类及制品,豆腐(北),415,100,12.2,4.8,2,1.2
干豆类及制品,豆腐(南)[南豆腐],240,58,6.2,2.5,2.6,1.1
干豆类及制品,豆腐(内酯),208,50,5,1.9,3.3,1
干豆类及制品,豆腐脑[老豆腐],62,15,1.9,0.8,Tr,1.5
干豆类及制品,豆浆,65,16,1.8,0.7,1.1,0.5
干豆类及制品,豆奶[豆乳],127,30,2.4,1.5,1.8,0.6
干豆类及制品,豆汁(生),42,10,0.9,0.1,1.4,0.8
干豆类及制品,豆腐丝,850,204,21.5,10.5,6.2,1.5
蔬菜类及制品,冬瓜,52,12,0.4,0.2,2.6,0.6
蔬菜类及制品,佛手瓜[棒瓜，菜肴梨],78,19,1.2,0.1,3.8,1.5
蔬菜类及制品,葫芦[长瓜，蒲瓜，瓠瓜],68,16,0.7,0.1,3.5,1.2
蔬菜类及制品,黄瓜[胡瓜](鲜),66,16,0.8,0.2,2.9,0.9
蔬菜类及制品,节瓜[毛瓜],61,15,0.6,0.1,3.4,1
蔬菜类及制品,金瓜,64,15,0.5,0.1,3.4,1.5
蔬菜类及制品,苦瓜[凉瓜，癞瓜](鲜),91,22,1,0.1,4.9,1.8
蔬菜类及制品,南瓜[倭瓜，番瓜](鲜),99,24,0.7,0.1,5.3,0.8
蔬菜类及制品,葫子,123,29,0.7,0.1,6.8,1.2
蔬菜类及制品,秋葵[黄秋葵，羊角豆],190,46,2,0.1,11,2.5
蔬菜类及制品,樱桃番茄[小西红柿],107,26,1,0.2,5.8,2
蔬菜类及制品,甜椒[灯笼椒、柿子椒],77,18,1,0.2,3.8,暂无公开均价
蔬菜类及制品,彩椒,109,26,1.3,0.2,6.4,2.5
蔬菜类及制品,秋葵[黄秋葵、羊角豆],104,25,1.8,0.2,6.2,暂无公开均价
蔬菜类及制品,白瓜,59,14,0.9,,2.6,1
蔬菜类及制品,菜瓜[生瓜，白瓜],80,19,0.6,0.2,3.9,1.2
蔬菜类及制品,南瓜粉,1448,347,7.1,2.1,79.6,1.5
蔬菜类及制品,蛇瓜[蛇豆，大豆角],78,19,1.5,0.1,3.9,2
蔬菜类及制品,丝瓜,90,22,1,0.2,4.2,1.5
蔬菜类及制品,笋瓜[生瓜],61,15,0.5,,3.1,1
蔬菜类及制品,西葫芦,80,19,0.8,0.2,3.8,1.2
蔬菜类及制品,飞碟瓜,73,18,1,0.1,4.4,2
蔬菜类及制品,黄茎瓜,81,19,1.2,0.9,2,1.8
蔬菜类及制品,秋黄瓜[旱黄瓜],57,14,0.9,0.2,2.5,1.5
蔬菜类及制品,南瓜(栗面),153,37,1.4,0.1,8.8,1
蔬菜类及制品,大蒜[蒜头](鲜),543,130,4.5,0.2,27.6,1
蔬菜类及制品,青蒜,142,34,2.4,0.3,6.2,1.5
蔬菜类及制品,蒜黄,102,24,2.5,0.2,3.8,2.5
蔬菜类及制品,蒜苗,170,41,2.1,0.4,8,1.2
蔬菜类及制品,蒜苔,277,66,2,0.1,15.4,2
蔬菜类及制品,大葱,139,33,1.7,0.3,6.5,1
蔬菜类及制品,细香葱[香葱，四季葱],176,42,2.5,0.3,7.2,1.5
蔬菜类及制品,"葱(小葱,鲜)",113,27,1.6,0.4,4.9,1.2
蔬菜类及制品,洋葱[葱头](鲜),171,41,1.1,0.2,9,0.8
蔬菜类及制品,韭菜,121,29,2.4,0.4,4.6,1
蔬菜类及制品,韭黄[韭芽],102,24,2.3,0.2,3.9,2.5
蔬菜类及制品,韭苔,157,38,2.2,0.1,7.8,2.2
蔬菜类及制品,薤[皎头](鲜),316,76,,,18.6,1.5
蔬菜类及制品,薤白[小根蒜，山蒜，团蒜](鲜),525,126,3.4,0.4,27.1,1.2
蔬菜类及制品,大白菜(均值),76,18,1.5,0.1,3.2,0.5
蔬菜类及制品,芥菜(大叶，鲜)[盖菜],69,17,1.8,0.4,2,1.5
蔬菜类及制品,芥蓝[甘蓝菜，盖蓝菜],92,22,2.8,0.4,2.6,2
蔬菜类及制品,结球甘蓝(紫),106,25,1.2,0.2,6.2,2.5
蔬菜类及制品,抱子甘蓝,150,36,3.5,,8.8,3
蔬菜类及制品,羽衣甘蓝,163,39,5,0.4,5.7,2.8
蔬菜类及制品,盖菜,55,13,1.5,,2.8,1.6
蔬菜类及制品,菠菜[赤根菜](鲜),116,28,2.6,0.3,4.5,1.4
蔬菜类及制品,冬寒菜[冬苋菜，冬葵](鲜),145,35,3.9,0.4,4.9,2
蔬菜类及制品,酸白菜[酸菜],62,15,1.1,0.2,2.4,1
蔬菜类及制品,小白菜,73,18,1.5,0.3,2.7,1.2
蔬菜类及制品,白菜薹[菜薹，菜心],119,29,2.8,0.5,4,2.5
蔬菜类及制品,红菜薹[紫菜薹],180,43,2.9,2.5,2.7,3
蔬菜类及制品,瓢儿白[瓢儿菜],76,18,1.7,0.2,3.2,1.5
蔬菜类及制品,乌菜[乌塌菜，塌棵菜],118,28,2.6,0.4,4.2,1.8
蔬菜类及制品,油菜,104,25,1.8,0.5,3.8,1.2
蔬菜类及制品,油菜薹[菜薹],102,24,3.2,0.4,3,2.2
蔬菜类及制品,奶白菜,89,21,2.7,0.2,3.3,1.5
蔬菜类及制品,鸡毛菜,79,19,2.7,0.2,2.6,1.2
蔬菜类及制品,娃娃菜,52,12,1.9,,2.4,1.8
蔬菜类及制品,乌塌菜[塌菜、塌棵菜],55,13,1.8,0.1,2.6,1.8
蔬菜类及制品,甘蓝[圆白菜，卷心菜],102,24,1.5,0.2,4.6,0.6
蔬菜类及制品,菜花[花椰菜],110,26,2.1,0.2,4.6,1.5
蔬菜类及制品,西兰花[绿菜花],151,36,4.1,0.6,4.3,2
蔬菜类及制品,芥菜[雪里红，雪菜](鲜),114,27,2,0.4,4.7,2.5
蔬菜类及制品,莴笋[莴苣](鲜),63,15,1,0.1,2.8,0.9
蔬菜类及制品,莴笋叶[莴苣叶],83,20,1.4,0.2,3.6,1.5
蔬菜类及制品,蕹菜[空心菜，藤藤菜],97,23,2.2,0.3,3.6,1.2
蔬菜类及制品,番杏[新西兰菠菜、夏菠菜],60,14,1.8,0.1,2.9,2
蔬菜类及制品,樱桃萝卜缨,59,14,2,0.1,2.7,1.5
蔬菜类及制品,白凤菜,66,16,1.6,,4,2.5
蔬菜类及制品,紫背天葵[红风菜、血皮菜],74,18,1.9,,3.8,3
蔬菜类及制品,观达菜[根达菜、牛皮菜],95,23,1.9,0.3,4.5,1.5
蔬菜类及制品,观达菜[根达菜，牛皮菜],67,16,1.7,0.3,2.1,暂无公开均价
蔬菜类及制品,胡萝卜缨(红，鲜),200,48,1.7,0.4,11.3,1.2
蔬菜类及制品,苦菜[节节花，拒马菜],191,46,2.8,0.6,10,2
蔬菜类及制品,萝卜缨(小萝卜),95,23,1.6,0.3,4.1,1
蔬菜类及制品,芹菜(白茎)[旱芹，药芹],71,17,0.8,0.1,3.9,1
蔬菜类及制品,芹菜茎,94,23,1.2,0.2,4.5,1.2
蔬菜类及制品,芹菜叶(鲜),147,35,2.6,0.6,5.9,1.5
蔬菜类及制品,生菜(牛俐)[油麦菜],69,17,1.4,0.4,2.1,1.2
蔬菜类及制品,竹笋(鲜),97,23,2.6,0.2,3.6,2.5
蔬菜类及制品,白笋(干),1172,281,26,4,57.1,1.5
蔬菜类及制品,春笋(鲜),106,25,2.4,0.1,5.1,2
蔬菜类及制品,冬笋(鲜),177,42,4.1,0.1,6.5,3
蔬菜类及制品,黑笋(干),1121,269,17.6,2.4,57.5,2.5
蔬菜类及制品,毛笋[毛竹笋](鲜),98,24,2.2,0.2,3.8,1.5
蔬菜类及制品,玉兰片,274,66,2.6,0.4,18.6,2
蔬菜类及制品,百合(鲜),702,168,3.2,0.1,38.8,2.5
蔬菜类及制品,"菱角(老,鲜)[龙角]",429,103,4.5,0.1,21.4,1.5
蔬菜类及制品,藕[莲藕],308,74,1.9,0.2,16.4,1.5
蔬菜类及制品,蒲菜[香蒲，甘蒲，野茭白](鲜),57,14,1.2,0.1,2.4,2
蔬菜类及制品,水芹菜,54,13,1.4,0.2,1.8,1.5
蔬菜类及制品,茭白[茭笋，茭粑](鲜),111,27,1.2,0.2,5.9,2.5
蔬菜类及制品,荸荠[马蹄，地栗](鲜),259,62,1.2,0.2,14.2,1.5
蔬菜类及制品,莼菜(瓶装)[花案菜],88,21,1.4,0.1,3.8,3
蔬菜类及制品,大薯[参薯](鲜),457,110,2.1,0.2,24.9,2
蔬菜类及制品,百合(干),1469,352,6.7,0.5,79.5,1.5
蔬菜类及制品,金针菜[黄花菜],906,217,19.4,1.4,34.9,2
蔬菜类及制品,菊苣,78,19,1.3,0.2,3.3,2.5
蔬菜类及制品,芦笋[石刁柏，龙须菜],94,23,1.4,0.1,4.9,3
蔬菜类及制品,结球菊苣,72,17,1.8,0.2,3.4,2.8
蔬菜类及制品,软化白菊苣,70,17,1.5,0.2,3.1,2.5
蔬菜类及制品,慈菇[乌芋，白地果](鲜),411,99,4.6,0.2,19.9,2
蔬菜类及制品,豆瓣菜[西洋菜，水田芥](鲜),83,20,2.9,0.5,1.5,2.5
蔬菜类及制品,豆薯[凉薯，地瓜，沙葛](鲜),240,58,0.9,0.1,13.4,1.5
蔬菜类及制品,葛[葛署，粉葛](鲜),637,153,2.2,0.2,36.1,2
蔬菜类及制品,山药[薯蓣，大薯](鲜),243,58,1.9,0.2,12.4,2.5
蔬菜类及制品,芋头[芋艿，毛芋],344,82,2.2,0.2,18.1,1.5
蔬菜类及制品,槟榔芋(鲜),380,91,3,0.1,19.7,2
蔬菜类及制品,姜[黄姜](鲜),195,47,1.3,0.6,10.3,1
蔬菜类及制品,姜(干),1294,310,9.1,5.7,64,2
蔬菜类及制品,姜(子姜，鲜)[嫩姜],89,21,0.7,0.6,3.7,1.5
蔬菜类及制品,生菜(叶用莴苣),61,15,1.3,0.3,2,1.2
蔬菜类及制品,甜菜叶(鲜),89,21,1.8,0.1,3.9,1.5
蔬菜类及制品,香菜[芫荽](鲜),140,34,1.8,0.4,6.2,1
蔬菜类及制品,苋菜(绿，鲜),124,30,2.8,0.3,5,1.2
蔬菜类及制品,"苋菜(紫,鲜)[红苋]",147,35,2.8,0.4,5.9,1.5
蔬菜类及制品,茼蒿[蓬蒿菜，艾菜](鲜),99,24,1.9,0.3,3.9,1.5
蔬菜类及制品,茴香[小茴香](鲜),114,27,2.5,0.4,4.2,2
蔬菜类及制品,荠菜[蓟菜，菱角菜](鲜),129,31,2.9,0.4,4.7,2.5
蔬菜类及制品,地肤[益明，扫帚苗](鲜),275,66,5.2,0.8,10.4,2
蔬菜类及制品,地笋[地古牛，地瓜儿苗叶](鲜),290,70,4.3,0.7,13.7,2.5
蔬菜类及制品,豆腐柴(鲜),304,73,,,17.9,3
蔬菜类及制品,独行菜(鲜),238,57,,,14,2
蔬菜类及制品,番杏[夏菠菜，新西兰菠菜],146,35,,,8.6,暂无公开均价
蔬菜类及制品,槐花[洋槐花，豆槐花](鲜),348,83,3.1,0.7,17,2.5
蔬菜类及制品,黄麻叶(鲜),177,42,4.7,0.3,5.7,2
蔬菜类及制品,苦苦菜(鲜),175,42,2.5,0.9,6.8,2.5
蔬菜类及制品,洋姜[菊芋，鬼子姜](鲜),309,74,2.4,,15.8,1.5
蔬菜类及制品,艾蒿,231,55,,,13.6,2
蔬菜类及制品,白花菜,107,26,,,6.3,2.5
蔬菜类及制品,白花桔梗,325,78,,,19.1,3
蔬菜类及制品,白沙蒿[沙蒿](鲜),234,56,4.3,0.9,8.5,2.5
蔬菜类及制品,白薯叶[甘薯叶](鲜),252,60,4.8,0.7,9,1.5
蔬菜类及制品,百里香(鲜),292,70,,,17.2,3
蔬菜类及制品,败酱[胭脂麻](鲜),289,69,1.5,1,17.3,2.5
蔬菜类及制品,马齿苋[长寿菜，瓜子菜](鲜),118,28,2.3,0.5,3.9,1.6
蔬菜类及制品,马兰头[马兰，鸡儿肠，路边菊](鲜),119,29,2.4,0.4,4.6,2.5
蔬菜类及制品,牛至,299,72,,,17.6,3
蔬菜类及制品,牛蒡叶(鲜),175,42,4.7,0.8,5.1,2.5
蔬菜类及制品,球茎茴香,209,50,,,12.3,2
蔬菜类及制品,汤菜(鲜),100,24,1.8,0.5,3.4,1.5
蔬菜类及制品,夏枯草[铁色草](鲜),267,64,2.5,0.7,12.7,2.5
蔬菜类及制品,香椿[香椿芽](鲜),213,51,1.7,0.4,10.9,2.4
蔬菜类及制品,榆钱(鲜),187,45,4.8,0.4,7.6,2
蔬菜类及制品,苣荬菜(尖叶)[取荬菜，苦麻子],197,47,,,11.6,2.5
蔬菜类及制品,苜蓿[草头，金花菜],270,65,3.9,1,10.9,2.6
蔬菜类及制品,荞菜[野荞](鲜),54,13,0.7,0.2,2.7,2
蔬菜类及制品,蕨菜[龙头菜，如意菜](鲜),179,43,1.6,0.4,9,2.5
蔬菜类及制品,枸杞菜[枸杞，地骨](鲜),198,47,5.6,1.1,4.5,2
蔬菜类及制品,酢浆草[酸酸草，酸溜溜](鲜),282,68,3.1,0.5,12.4,2.5
蔬菜类及制品,鱼腥草(叶)[蕺菜、臭菜],131,31,2.1,,10.7,2
蔬菜类及制品,扁蓄菜[竹节草](鲜),316,76,6,0.6,12.4,2.5
蔬菜类及制品,朝鲜蓟(鲜),229,55,2.7,0.2,10.9,3
蔬菜类及制品,刺儿菜[小蓟，蓟蓟菜](鲜),175,42,4.5,0.4,5.9,2.5
蔬菜类及制品,刺楸(鲜),784,188,,,46.1,3
蔬菜类及制品,达乌里胡枝子[牛枝子，豆豆苗](鲜),495,119,7,1,23.1,2.5
蔬菜类及制品,大玻璃草叶[大车前](鲜),208,50,4.4,0.3,8.8,2
蔬菜类及制品,大巢菜[野苕子，野豌豆](鲜),265,64,3.8,0.5,13.6,2.5
蔬菜类及制品,大蓟叶[飞廉叶](鲜),158,38,1.5,1.4,5.5,2.5
菌藻类,草菇[大黑头细花草],112,27,2.7,0.2,4.3,2.5
菌藻类,大红菇(干)[草质红菇],1099,264,24.4,2.8,50.9,15
菌藻类,冬菇(干)[毛柄金线菌],1158,278,17.8,1.3,64.6,8
菌藻类,黄蘑(干),851,204,16.4,1.5,40.1,6
菌藻类,金针菇[智力菇](鲜),133,32,2.4,0.4,6,1.5
菌藻类,口蘑(白蘑),1162,279,38.7,3.3,31.6,5
菌藻类,蘑菇(鲜蘑),100,24,2.7,0.1,4.1,1.2
菌藻类,蘑菇(干),1234,296,21,4.6,52.7,5
蔬菜类及制品,鱼腥草(根),261,63,2.1,,19.5,1.5
菌藻类,木耳(干)[黑木耳，云耳],1107,265,12.1,1.5,65.6,6
菌藻类,木耳(水发)[黑木耳，云耳],112,27,1.5,0.2,6,2
菌藻类,平菇[糙皮侧耳，青蘑],101,24,1.9,0.3,4.6,1
菌藻类,普中红蘑(干),1105,265,18.4,0.7,58.1,10
菌藻类,松蘑(干)[松口蘑，松茸],853,205,20.3,3.2,48.2,20
菌藻类,香菇[香蕈，冬菇](鲜),107,26,2.2,0.3,5.2,1.5
