Category,食物名称,能量,热量,蛋白质,脂肪,碳水化合物,成本
禽肉类及制品,鸡肉松,1848,443,7.2,16.4,65.8,8
禽肉类及制品,鸭(均值),996,239,15.5,19.7,0.2,2.5
乳类及制品,牛奶(巧克力味，三元牌),311,75,2.3,2.8,9.9,0.8
乳类及制品,学生奶,278,67,2.6,2.6,8.1,0.5
乳类及制品,乳品（鲜羊乳）,247,59,1.5,3.5,5.4,1
乳类及制品,全脂加糖奶粉,2054,493,22.5,23.4,47.4,1.5
乳类及制品,全脂速溶奶粉,1956,469,19.9,18.9,54,1.6
乳类及制品,全脂奶粉(雀巢),2161,518,24,28,42.2,1.8
乳类及制品,全脂奶粉(三鹿牌),2156,517,25.4,29.6,37,1.5
乳类及制品,全脂奶粉(伊利牌),2110,506,22,26,45.5,1.6
乳类及制品,全脂甜奶粉(三鹿牌),2000,480,21.2,21.1,50.5,1.7
乳类及制品,全脂甜奶粉(伊利牌),1998,479,19,21,52.8,1.8
乳类及制品,低脂奶粉(高钙高铁，雀巢),1934,464,27,11.7,61.3,2
乳类及制品,低脂奶粉(高钙高铁，伊利牌),1782,427,27,11,53.9,1.9
乳类及制品,高钙高铁奶粉(可淇牌),1892,454,17,13,66,1.8
乳类及制品,儿童奶粉(安儿健A+，美赞臣),1922,461,17.9,11.1,71,2.5
乳类及制品,儿童奶粉(适体健，美赞臣),1858,446,16,9,75,2.4
乳类及制品,儿童奶粉(惠氏),2000,480,17,15,68,2.6
乳类及制品,炼乳(甜，罐头),1400,336,8,8.7,55.4,1.5
乳类及制品,奶皮子,1902,456,12.2,42.9,6.3,2
乳类及制品,奶片,1982,475,13.3,20.2,59.3,1.5
乳类及制品,全脂甜炼乳(雀巢),1601,384,7.5,10,64.9,1.6
乳类及制品,全脂甜炼乳(燕山牌),1577,378,8.2,10,62.8,1.5
乳类及制品,脱脂甜炼乳,1169,280,10.3,0.2,58,1.7
乳类及制品,中老年奶粉(森永牌),1764,423,22,10,60,2
乳类及制品,奶粉(全脂羊乳粉),2085,500,18.8,25.2,49,2.5
乳类及制品,乳品（酸奶，均值),301,72,2.5,2.7,9.3,0.8
乳类及制品,酸奶(脱脂),241,58,3.3,0.4,10,0.9
乳类及制品,酸奶(调味),372,89,3,3.2,11.9,0.8
乳类及制品,酸奶(果粒),411,99,3.3,2.9,14.6,1
乳类及制品,奶酪[干酪],1366,328,25.7,23.5,3.5,2.5
乳类及制品,奶豆腐(鲜),1287,309,46.2,7.8,12.5,2
乳类及制品,乳酪（羊乳酪）,1144,274,15.6,20.2,7.7,3
乳类及制品,奶酪(光明牌),1442,346,16.5,28.4,6.5,2.6
乳类及制品,奶酪(骑士牌),1608,386,23,25.4,16.3,2.5
乳类及制品,低脂奶酪,1011,242,21.6,11.6,12.6,2.8
乳类及制品,硬质干酪,1756,421,24.9,34.5,3.3,3
乳类及制品,乳品（奶油）,3616,867,0.7,97,0.9,1.5
乳类及制品,黄油,3650,875,1.4,98,0,2
乳类及制品,酥油,3537,848,1.5,94.4,1.1,2.5
乳类及制品,儿童奶粉(可淇牌),1972,473,17,17,62,2.2
乳类及制品,儿童奶粉(三鹿牌),1941,465,18.3,17.5,57.8,2
乳类及制品,儿童奶粉(完达山牌),2060,494,17,18,65,2.1
乳类及制品,孕妇乳母奶粉(惠氏),1836,440,16,6.8,77.2,2.8
乳类及制品,孕妇乳母奶粉(美赞臣),1778,426,23.3,3.9,72.8,2.7
乳类及制品,中老年奶粉(可淇牌),1872,449,18,12,66,2
乳类及制品,中老年奶粉(雀巢),1864,447,30,14.4,48.3,2.2
乳类及制品,中老年奶粉(三鹿牌),1707,409,25.2,5.8,62.6,2
蛋类及制品,鸡蛋黄粉,2666,639,31.6,55.1,5.3,10
蛋类及制品,蛋（松花蛋，鸡蛋),742,178,14.8,10.6,5.8,1.5
蛋类及制品,毛蛋,730,175,14.2,13.2,Tr,1
蛋类及制品,荷包蛋(油煎),807,194,13.5,15,1.3,2
蛋类及制品,荷包蛋(煮),645,155,12.3,11.7,0.2,1.5
蛋类及制品,蛋（鸭蛋）,748,179,12.6,13,3.1,1.4
蛋类及制品,鸭蛋白,199,48,9.9,,1.8,1
蛋类及制品,鸭蛋黄,1565,375,14.5,33.8,4,2
鱼虾蟹贝类,鲇鱼[胡子鲇，鲢胡，旺虾],431,103,17.3,3.7,Tr,2
鱼虾蟹贝类,鲒花,491,118,15.6,6.1,Tr,2.5
鱼虾蟹贝类,鲢鱼[白鲢，胖子，连子鱼],436,105,17.8,3.6,Tr,1
鱼虾蟹贝类,鲫鱼[喜头鱼，海附鱼],455,109,17.1,2.7,3.8,3
鱼虾蟹贝类,鲮鱼[雪鲮],402,96,18.4,2.1,0.7,2.5
鱼虾蟹贝类,鳊鱼[鲂鱼，武昌鱼],565,135,18.3,6.3,1.2,2
鱼虾蟹贝类,鳗鲡[鳗鱼，河鳗],755,181,18.6,10.8,2.3,10
鱼虾蟹贝类,鳙鱼[胖头鱼，摆佳鱼，花鲢鱼],421,101,15.3,2.2,4.7,1.5
鱼虾蟹贝类,尖嘴白,578,139,22.7,3.3,4.1,2
鱼虾蟹贝类,口头鱼,565,135,19.6,4.2,4.5,2.5
鱼虾蟹贝类,鲤鱼[鲤拐子],459,110,17.6,4.1,0.5,2
鱼虾蟹贝类,罗非鱼,416,100,18.4,1.5,2.8,2.5
鱼虾蟹贝类,青鱼[青皮鱼，青鳞鱼，青混],497,119,20.1,4.2,Tr,2
鱼虾蟹贝类,乌鳢[黑鱼，石斑鱼，生鱼],359,86,18.5,1.2,Tr,3
鱼虾蟹贝类,鱼（银鱼）[面条鱼],440,106,17.2,4,Tr,5
鱼虾蟹贝类,湟鱼(裸鲤鱼),523,125,17.1,3.2,6.7,3
蛋类及制品,蛋（鹌鹑蛋）,664,159,12.8,11.1,2.1,2
蛋类及制品,海鸭蛋,1014,243,12.7,13.8,16.9,1.5
蛋类及制品,蛋（松花蛋，鸭蛋)[皮蛋],714,171,14.2,10.7,4.5,1.6
蛋类及制品,咸鸭蛋,793,190,12.7,12.7,6.3,1.5
蛋类及制品,咸鸭蛋(煮),734,176,13.8,13.5,0,1.6
蛋类及制品,蛋（鹅蛋）,814,195,11.1,15.6,2.8,2
蛋类及制品,鹅蛋白,206,49,8.9,,3.2,1.5
蛋类及制品,蛋黄（鹅蛋黄）,1346,323,15.5,26.4,6.2,2.5
蛋类及制品,鹅蛋(煮),736,176,12.7,13.6,1,2.2
鱼虾蟹贝类,白条鱼(裸鱼),432,104,16.6,3.3,1.6,2
鱼虾蟹贝类,草鱼[白鲩，草包鱼],475,114,16.6,5.2,Tr,2.5
鱼虾蟹贝类,赤眼鳟[金目鱼],459,110,18.1,4.1,Tr,2
鱼虾蟹贝类,感鱼[猴鱼],477,114,17.5,4.3,1.2,3
鱼虾蟹贝类,胡子鲇[塘虱(鱼)],611,147,15.4,8,3.1,2.5
鱼虾蟹贝类,黄颡鱼[戈牙鱼，黄鳍鱼],523,125,17.8,2.7,7.1,4
鱼虾蟹贝类,鱼（黄鳝）[鳝鱼],378,91,18,1.4,1.2,8
鱼虾蟹贝类,黄鳝丝,291,70,15.4,0.8,Tr,10
蛋类及制品,蛋（鸡蛋，均值),599,144,13.3,8.8,2.8,1.2
蛋类及制品,鸡蛋(白皮),574,138,12.7,9,1.5,1.1
蛋类及制品,鸡蛋(红皮),650,156,12.8,11.1,1.3,1.2
蛋类及制品,鸡蛋(土鸡),577,138,14.4,6.4,5.6,1.5
蛋类及制品,鸡蛋白,254,61,11.6,0.1,3.1,1
蛋类及制品,鸡蛋白(乌骨鸡),187,45,9.8,0.1,1,1.2
蛋类及制品,蛋黄（鸡蛋黄）,1360,326,15.2,28.2,3.4,1.5
蛋类及制品,鸡蛋黄(乌骨鸡),1092,262,15.2,19.9,5.7,1.8
鱼虾蟹贝类,鲭鱼(蒸),1614,387,14.6,36.5,0.9,3
鱼虾蟹贝类,鲭鱼(煮),1538,369,14.9,34.5,0.5,2.5
鱼虾蟹贝类,沙丁鱼(茄汁，熟),648,155,13.8,9.8,3,2
鱼虾蟹贝类,沙丁鱼(盐水浸),767,184,21.5,9.6,2.7,1.5
鱼虾蟹贝类,沙丁鱼(油浸),986,236,23.3,14.1,4,2
鱼虾蟹贝类,午餐鱼(香辣味),1588,381,24.4,30.2,3.3,2.5
鱼虾蟹贝类,鳕鱼(烤),422,101,21.4,1.2,0.8,3
鱼虾蟹贝类,鳕鱼(炸),1032,247,12.4,14.3,17.4,3.5
鱼虾蟹贝类,刺蛄[刺蛄],324,78,16,1.4,Tr,2
鱼虾蟹贝类,虾（东方对虾）[中国对虾],357,86,18.3,0.5,1.6,10
鱼虾蟹贝类,虾（海虾）,333,80,16.8,0.6,1.5,8
鱼虾蟹贝类,虾（河虾）,368,88,16.4,2.4,Tr,10
鱼虾蟹贝类,虾（基围虾）,427,102,18.2,1.4,3.9,15
鱼虾蟹贝类,江虾[沼虾],367,88,10.3,0.9,9.3,8
鱼虾蟹贝类,虾（龙虾）,379,91,18.9,1.1,1,20
鱼虾蟹贝类,塘水虾[草虾],405,97,21.2,1.2,Tr,6
鱼虾蟹贝类,金鲨鱼翅(干),1487,357,84.1,0.5,2.3,50
鱼虾蟹贝类,鱼排,677,162,10.1,2.4,24.5,2.5
鱼虾蟹贝类,鱼丸,453,109,11.1,1.3,12.7,2
鱼虾蟹贝类,鱼子酱,846,203,9.6,7.1,24.7,15
鱼虾蟹贝类,凤尾鱼(熟),2155,517,23.5,43,9.7,2.5
鱼虾蟹贝类,箭鱼(炸),1131,271,20.8,16.1,10.7,3
鱼虾蟹贝类,金枪鱼(盐水浸),444,106,23.5,0.6,1.3,3
鱼虾蟹贝类,金枪鱼(油浸),804,193,27.1,9,0.6,3.5
鱼虾蟹贝类,梅童鱼[大头仔鱼，丁珠鱼],506,121,18.9,5,0,2.5
鱼虾蟹贝类,沙丁鱼[沙鲻],377,90,19.8,1.1,Tr,2
鱼虾蟹贝类,沙钻鱼[多鳞喜，沙梭，麦穗鱼],355,85,18.4,0.6,1.2,2.5
鱼虾蟹贝类,舌鳎[花纹舌头，舌头鱼],353,85,17.7,1.4,Tr,3
鱼虾蟹贝类,油抒[香梭鱼],603,145,15.9,9,Tr,2.5
鱼虾蟹贝类,颚针鱼[针量鱼],752,180,20.2,10.4,1.4,3
鱼虾蟹贝类,鲅鱼[马鲛鱼，燕鲅鱼，巴鱼],511,123,21.2,3.1,2.1,2.5
鱼虾蟹贝类,鲆[片口鱼，比目鱼],472,113,20.8,3.2,Tr,3
鱼虾蟹贝类,海鳗[鲫勾],513,123,18.8,5,0.5,15
鱼虾蟹贝类,红娘鱼[翼红娘鱼],442,106,18,2.8,1.9,2.5
鱼虾蟹贝类,黄姑鱼[黄婆鸡(鱼)],572,137,18.4,7,Tr,3
鱼虾蟹贝类,黄鱼(大黄花鱼),407,98,17.7,2.5,0.8,10
鱼虾蟹贝类,黄鱼(小黄花鱼),417,100,17.9,3,0.1,8
鱼虾蟹贝类,黄鲂[赤虹，老板鱼],343,82,18.5,0.5,0.6,5
鱼虾蟹贝类,金线鱼[红三鱼],424,102,18.6,2.9,0,3
鱼虾蟹贝类,绿鳍马面豚[面包鱼，橡皮鱼],350,84,18.1,0.6,1.2,2.5
鱼虾蟹贝类,蟹足棒,522,125,9,0.6,20.4,2
鱼虾蟹贝类,鲍鱼[杂色鲍],356,85,12.6,0.8,6.6,10
鱼虾蟹贝类,鲍鱼(干),1360,326,54.1,5.6,13.7,20
鱼虾蟹贝类,蛏子,171,41,7.3,0.3,2.1,3
鱼虾蟹贝类,河蚌,227,54,10.9,0.8,0.7,2
鱼虾蟹贝类,河蚬[蚬子],200,48,7,1.4,1.7,2.5
鱼虾蟹贝类,牡蛎[海蛎子],307,74,5.3,2.1,8.2,5
鱼虾蟹贝类,生蚝,241,58,10.9,1.5,0,6
鱼虾蟹贝类,鲮鱼(豆豉，熟),1963,471,25.5,33.1,17.9,2.5
鱼虾蟹贝类,鳗鱼(红烧),886,212,21.3,9.8,9.5,12
鱼虾蟹贝类,鲭鱼(烤，150℃，10分),1679,403,16.5,37.8,Tr,3
鱼虾蟹贝类,鲭鱼(烤，150℃，20分),1612,387,19.1,34.8,Tr,3.2
鱼虾蟹贝类,鲭鱼(烤，150℃，30分),2188,525,19.9,50,Tr,3.5
鱼虾蟹贝类,鲭鱼(烤，180℃，10分),1520,365,20.2,31.8,Tr,3.3
鱼虾蟹贝类,鲭鱼(烤，210℃，10分),1929,463,19,43.4,Tr,3.5
鱼虾蟹贝类,鲭鱼(炸),2270,544,17.2,53.4,0.1,3.5
鱼虾蟹贝类,鲈鱼[鲈花],442,106,18.6,3.4,Tr,5
鱼虾蟹贝类,鲐鱼[青鲐鱼，鲐巴鱼，青砖鱼],650,156,19.9,7.4,2.2,2.5
鱼虾蟹贝类,鲑鱼[大麻哈鱼],581,139,17.2,7.8,0,10
鱼虾蟹贝类,鲑鱼籽酱[大麻哈鱼籽酱],1052,252,10.9,16.8,14.4,20
鱼虾蟹贝类,鲚鱼(大)[大凤尾鱼],442,106,13.2,5.5,0.8,3
鱼虾蟹贝类,鲚鱼(小)[小凤尾鱼],520,125,15.5,5.1,4,2.5
鱼虾蟹贝类,鲳鱼[平鱼，银鲳，刺鲳],585,140,18.5,7.3,0,5
鱼虾蟹贝类,鲷[黑鲷，铜盆鱼，大目鱼],446,107,17.9,2.6,2.7,4
鱼虾蟹贝类,鳜鱼[桂鱼，花鲫鱼],494,118,19.9,4.2,Tr,10
鱼虾蟹贝类,鳟鱼[红鳟鱼],416,100,18.6,2.6,0.2,5
鱼虾蟹贝类,白姑鱼[白米子(鱼)],628,151,19.1,8.2,Tr,2.5
鱼虾蟹贝类,参鱼[蓝圆参，边鱼],522,125,18.5,3.4,4.8,2
鱼虾蟹贝类,带鱼[白带鱼，刀鱼],535,128,17.7,4.9,3.1,5
鱼虾蟹贝类,堤鱼,795,191,17.6,12.8,1.3,2.5
鱼虾蟹贝类,狗母鱼[大头狗母鱼],420,101,16.7,2.3,3,2
鱼虾蟹贝类,海鲫鱼[九九鱼],857,206,17,13.7,3.6,2.5
鱼虾蟹贝类,鲻鱼[白眼棱鱼],499,120,18.9,4.8,Tr,2
鱼虾蟹贝类,鲽[比目鱼，凸眼鱼],452,108,21.1,2.3,0.5,3
鱼虾蟹贝类,鳐鱼[夫鱼],380,91,20.8,0.7,Tr,2.5
鱼虾蟹贝类,鳓鱼[快鱼，力鱼],666,160,20.7,8.5,Tr,3
鱼虾蟹贝类,鳕鱼[鳕狭，明太鱼],374,90,20.4,0.5,0.5,3
鱼虾蟹贝类,鳘鱼,377,90,20.2,0.9,0,4
鱼虾蟹贝类,双髻鲨,469,112,27.4,0.1,Tr,5
鱼虾蟹贝类,鱼片干,1284,308,46.1,3.4,22,5
鱼虾蟹贝类,螺(均值),424,102,15.7,1.2,6.6,2.5
鱼虾蟹贝类,文蛤丸,883,212,16.2,9.2,15.7,2
鱼虾蟹贝类,海参,330,79,16.5,0.2,2.5,10
鱼虾蟹贝类,海参(干),1107,265,50.2,4.8,4.5,50
鱼虾蟹贝类,海蜇皮,139,33,3.7,0.3,3.8,3
鱼虾蟹贝类,海蜇头,314,75,6,0.3,11.8,4
鱼虾蟹贝类,墨鱼[曼氏无针乌贼],349,84,15.2,0.9,3.4,3
鱼虾蟹贝类,墨鱼(干)[曼氏无针乌贼],1216,292,65.3,1.9,2.1,5
鱼虾蟹贝类,泥蚶[血蚶，珠蚶],302,72,10,0.8,6,3
鱼虾蟹贝类,扇贝(鲜),255,61,11.1,0.6,2.6,5
鱼虾蟹贝类,扇贝(干)[干贝],1121,269,55.6,2.4,5.1,10
鱼虾蟹贝类,银蚶[蚶子],298,71,12.2,1.4,2.3,2.5
鱼虾蟹贝类,贻贝(鲜)[淡菜，壳菜],337,81,11.4,1.7,4.7,2
鱼虾蟹贝类,贻贝(干)[淡菜，壳菜],1498,359,47.8,9.3,20.1,3
鱼虾蟹贝类,海蚌[西施舌],176,42,9.5,0.3,0.2,3
鱼虾蟹贝类,蛤蜊(均值),260,62,10.1,1.1,2.8,2.5
鱼虾蟹贝类,虾虎,342,82,11.6,1.7,4.8,2
鱼虾蟹贝类,虾皮,646,155,30.7,2.2,2.5,1.5
鱼虾蟹贝类,螯虾,392,94,14.8,3.8,0,3
鱼虾蟹贝类,虾米[海米，虾仁],839,201,43.7,2.6,Tr,2.5
鱼虾蟹贝类,虾酱,465,112,10.8,7.6,Tr,2
鱼虾蟹贝类,蟹（海蟹）,400,96,13.8,2.3,4.7,10
鱼虾蟹贝类,蟹（河蟹）,433,104,17.5,2.6,2.3,15
鱼虾蟹贝类,蟹肉,260,62,11.6,1.2,1.1,5
婴幼儿食品,幼儿奶粉(安儿宝A+，美赞臣),2000,480,17.8,15,67.2,2.6
婴幼儿食品,幼儿奶粉(惠氏),2016,483,15.8,15.8,68.4,2.8
婴幼儿食品,幼儿奶粉(惠氏，简装),2020,484,15.8,16,68.2,2.7
婴幼儿食品,幼儿奶粉(可淇牌),1992,478,16.5,18,61.5,2.3
婴幼儿食品,幼儿奶粉(美素高),1916,459,22.1,18.4,52,2.5
婴幼儿食品,幼儿奶粉(美素高，全能装),2017,484,22.1,18.4,56.5,2.6
婴幼儿食品,幼儿奶粉(美素高，袋装),2017,484,22.1,18.4,56.5,2.4
婴幼儿食品,幼儿奶粉(雀巢),1947,467,21.6,19,51.6,2.5
婴幼儿食品,较大婴儿配方奶粉(爱力大2，美赞臣),2036,488,16.1,16.8,67.1,2.6
婴幼儿食品,较大婴儿配方奶粉(安婴宝，美赞臣),2024,485,15.2,16.2,68.6,2.5
婴幼儿食品,较大婴儿配方奶粉(安婴宝A+，美赞臣),2026,486,15.9,16.3,67.8,2.6
婴幼儿食品,较大婴儿配方奶粉(健儿乐，惠氏),2100,504,18,20,62,2.8
婴幼儿食品,较大婴儿配方奶粉(健儿乐，惠氏，简装),2100,504,18,20,62,2.7
婴幼儿食品,较大婴儿配方奶粉(可淇牌),2052,492,15,21,60,2.3
婴幼儿食品,较大婴儿配方奶粉(美素乐2),2046,491,15,21,61,2.5
婴幼儿食品,较大婴儿配方奶粉(美素乐),2025,486,15,21.5,57.3,2.4
婴幼儿食品,较大婴儿配方奶粉(美素乐，袋装),2025,486,15,21.5,57.3,2.3
婴幼儿食品,较大婴幼儿配方奶粉(吉利蜜2，森永牌),1981,475,18,20,55,2.6
婴幼儿食品,较大婴幼儿配方奶粉(力多精2，雀巢),1947,467,20.4,19,52.8,2.5
婴幼儿食品,较大婴儿配方奶粉(圣元牌),2160,518,15,23,62,2.4
婴幼儿食品,较大婴幼儿奶粉(高钙，圣元牌),2150,516,15,22.5,62.5,2.5
婴幼儿食品,较大婴幼儿配方奶粉(完达山牌),1984,476,18,18,59.5,2.4
婴幼儿食品,幼儿奶粉(爱力大3，美赞臣),2026,486,16.6,16.3,67.1,2.7
婴幼儿食品,幼儿奶粉(安儿宝，美赞臣),2000,480,17.8,15,67.2,2.6
婴幼儿食品,幼儿奶粉(雀巢金牌),1938,465,18.5,18,56.3,2.8
婴幼儿食品,幼儿奶粉(森永牌),1923,461,20,17.5,55,2.6
婴幼儿食品,幼儿奶粉(圣元牌),2070,496,17.5,18.5,64,2.5
婴幼儿食品,胡萝卜苹果泥(亨氏),174,42,0.8,0.1,9.8,1.5
婴幼儿食品,鸡肝蔬菜泥(亨氏),326,78,4,2.2,10.7,1.6
婴幼儿食品,香甜胡萝卜泥(亨氏),134,32,1,0.2,7.6,1.5
婴幼儿食品,豆奶粉,1787,429,19,8,68.7,1.5
婴幼儿食品,米粉(雀巢),1697,407,6.1,2.5,88.3,1.2
鱼虾蟹贝类,乌贼(鲜)[鱿鱼，台湾枪乌贼，枪,355,85,17.4,1.6,Tr,暂无公开均价
鱼虾蟹贝类,鱿鱼(干)[台湾枪乌贼],1323,317,60,4.6,7.8,5
鱼虾蟹贝类,鱿鱼(水浸),319,76,17,0.8,Tr,2.5
鱼虾蟹贝类,乌鱼蛋,280,67,14.1,1.1,Tr,2
鱼虾蟹贝类,章鱼[真蛸],219,53,10.6,0.4,1.4,4
鱼虾蟹贝类,甲鱼蛋,534,128,12.5,7.3,3,2.5
鱼虾蟹贝类,墨鱼丸,538,129,13.4,4.7,8,2
婴幼儿食品,婴儿配方奶粉(力多精1，雀巢),2123,509,12.5,25.8,56.2,2.5
婴幼儿食品,婴儿配方奶粉(美素力1),2172,521,11.1,27,58.9,2.6
婴幼儿食品,婴儿配方奶粉(美素力H),2192,526,10.8,27,59.4,2.7
婴幼儿食品,婴儿配方奶粉(美素力，袋装),2192,526,10.8,27,59.4,2.5
婴幼儿食品,婴儿配方奶粉(圣元牌),2260,542,12.5,28,59.5,2.4
婴幼儿食品,婴儿配方奶粉(完达山牌),2123,509,13.3,27.5,51.7,2.4
婴幼儿食品,婴儿奶粉(高钙，圣元牌),2240,537,12.8,27,60.2,2.5
婴幼儿食品,婴儿配方豆粉(爱儿素，惠氏),2240,537,14,27,59,2.6
婴幼儿食品,婴儿配方奶粉(爱儿乐，惠氏),2260,542,12,28,60,2.8
婴幼儿食品,婴儿配方奶粉(爱儿乐，惠氏，简装),2260,542,11,28,61,2.7
婴幼儿食品,婴儿配方奶粉(爱力大1，美赞臣),2140,513,12.5,22,65.5,2.6
婴幼儿食品,婴儿配方奶粉(安婴儿，美赞臣),2280,547,11,29,60,2.5
婴幼儿食品,婴儿配方奶粉(安婴儿A+，美赞臣),2280,547,11,29,60,2.6
婴幼儿食品,婴儿配方奶粉(安婴乐，美赞臣),2260,542,11,28,61,2.5
婴幼儿食品,婴儿配方奶粉(吉利蜜1，森永牌),2157,517,12.6,27,55.5,2.6
婴幼儿食品,婴儿配方奶粉(可淇牌),2132,511,12,25,59,2.3
婴幼儿食品,米粉(高蛋白，雀巢),1771,425,15,9,69.6,1.5
婴幼儿食品,米粉(高蛋白，亨氏),1611,386,15.7,2,75.9,1.6
婴幼儿食品,米粉(苹果，雀巢),1654,397,5.4,2.8,85.8,1.4
婴幼儿食品,米粉(蔬菜，亨氏),1672,401,10,3,81.8,1.5
婴幼儿食品,米粉(蔬菜，雀巢),1665,399,6.7,3.2,84.3,1.4
婴幼儿食品,米粉(胡萝卜，亨氏),1640,393,5,1.5,88.2,1.5
婴幼儿食品,米粉(胡萝卜，雀巢),1680,403,6.4,4.1,83.5,1.4
婴幼儿食品,米粉(番茄，亨氏),1658,398,6.2,2,87,1.5
婴幼儿食品,米粉(猪肝蔬菜，亨氏),1658,398,10,3,81,1.6
婴幼儿食品,米粉(鱼肉蔬菜，亨氏),1626,390,14.5,1.5,77.9,1.7
婴幼儿食品,麦粉(蜂蜜，雀巢),1645,394,8.4,3.4,82.1,1.5
小吃、甜饼,艾窝窝,811,194,4.3,,43.4,2
小吃、甜饼,白水羊头,808,194,22.4,11,1.2,3
小吃、甜饼,茶汤,394,94,1.5,0.1,21.5,1.5
小吃、甜饼,炒肝,400,96,2.8,8,3.3,2.5
小吃、甜饼,春卷,1933,464,6.1,33.7,34.8,2
小吃、甜饼,豆腐脑(带卤),201,48,2.6,1.8,5.4,2
小吃、甜饼,灌肠,569,136,0.2,0.3,32.8,1.5
小吃、甜饼,煎饼,1498,359,7.6,0.7,83.8,1.5
小吃、甜饼,月饼(豆沙),1730,415,8.2,13.6,65.6,3
小吃、甜饼,月饼(五仁),1781,427,8,16,64,3.5
小吃、甜饼,月饼(枣泥),1792,430,7.1,15.7,64.9,3.2
小吃、甜饼,月饼(蛋黄),1682,403,6,20,50.2,4
小吃、甜饼,月饼(豆沙),1409,338,5.4,6.9,64.8,3
小吃、甜饼,月饼(桂花板栗),1432,343,5.7,6.6,66.3,3.5
小吃、甜饼,月饼(奶油莲芸),1557,373,5.5,13,60.4,3.8
小吃、甜饼,板油酥饼,1512,363,7.6,14.9,49.4,2.5
小吃、甜饼,春卷(素馅),797,191,4.9,4.6,33.8,1.8
小吃、甜饼,黑芝麻汤圆,1319,316,4.4,13.8,44.2,2
小吃、甜饼,醪糟,428,103,2.6,0.2,22.4,1.5
小吃、甜饼,煎饼,1408,338,9.5,3.5,70,1.5
小吃、甜饼,过桥米线,397,95,4,3.8,11.8,2.5
小吃、甜饼,蛋糕(均值),1472,353,8.6,5.1,67.1,3
小吃、甜饼,蛋糕(巧克力),1886,452,4.7,30.4,40.2,3.5
小吃、甜饼,蛋糕(水果),1435,344,2.9,9.1,61.7,3.2
小吃、甜饼,年糕,661,159,3.3,0.6,34.7,1.5
小吃、甜饼,青稞炒面,1549,371,11.8,2.2,77,2
小吃、甜饼,热干面,646,155,4.2,2.4,28.7,2.5
小吃、甜饼,豌豆黄,584,140,7.5,0.6,26.7,2
小吃、甜饼,油茶,406,97,2.4,0.9,20,1.5
小吃、甜饼,油炸豆瓣,1713,411,25.1,9.8,54.7,1
小吃、甜饼,炸糕,1182,283,6.1,12.3,37.3,2
小吃、甜饼,糌粑(稞麦熟品),1091,262,4.1,13.1,32.5,2.5
小吃、甜饼,酥皮糕点,1804,433,8.1,15.5,65,2.5
小吃、甜饼,桃酥,2024,485,7.1,21.8,65.1,2
小吃、甜饼,芝麻桃酥,1963,471,7,17.7,70.1,2.2
小吃、甜饼,茯苓夹饼,1464,351,4.4,0.4,84.3,2.5
小吃、甜饼,沙琪玛蛋酥,2135,512,5.9,30.4,55.1,3
小吃、甜饼,香橙水果馅饼,1872,449,4.8,19,64.2,2.5
小吃、甜饼,焦圈,2224,533,6.9,34.9,48.9,1.5
小吃、甜饼,京八件,1851,444,7.2,16.4,67.6,3
小吃、甜饼,栗羊羹,1283,308,3.7,0.6,70.9,2.5
小吃、甜饼,凉粉,160,38,0.2,0.3,8.9,1
小吃、甜饼,凉面,709,170,4.8,1.7,33.3,1.5
小吃、甜饼,龙虾片,1451,348,0.6,0.1,85.5,1.5
小吃、甜饼,驴打滚,840,201,8.2,0.2,41.8,2
小吃、甜饼,密三刀,1795,430,4.4,14.2,70.7,2.5
速食食品,鸡柳汉堡(肯德基),1135,272,13.9,13.6,23.8,2.5
速食食品,香芋甜心(肯德基),1191,286,2.8,7.5,51.8,1.5
速食食品,鸡肉汉堡(肯德基),1240,297,7.9,16.3,31,2
速食食品,鸡肉卷(肯德基),1070,257,10.1,13.1,25.2,2.2
速食食品,上校鸡块(肯德基),1100,264,16.9,12.5,21.1,2.5
速食食品,辣鸡翅(肯德基),1412,339,19.4,23.6,12.8,3
速食食品,新奥尔良鸡翅(肯德基),1002,240,22.1,13.8,6.8,3.2
速食食品,劲爆鸡米花(肯德基),1272,305,18.4,18.9,16.2,2.8
小吃、甜饼,蛋黄酥,1643,394,11.7,3.9,76.9,2.5
小吃、甜饼,夹心酥饼,2015,483,5.3,24.7,59.7,2
小吃、甜饼,江米条,1854,445,5.7,11.7,78.1,1.5
小吃、甜饼,开口笑,2165,519,8.4,30,55.3,1.8
小吃、甜饼,绿豆糕,1492,358,12.8,1,73.4,2
小吃、甜饼,麻烘糕,1685,404,3.8,3.8,87.2,2.5
小吃、甜饼,麻花,2201,528,8.3,31.5,53.4,2
小吃、甜饼,米花糖,1631,391,3.1,3.3,85.8,1.5
速食食品,甜玉米籽粒(肯德基),525,126,3.2,0.2,28.6,1.5
