Category,食物名称,能量,热量,蛋白质,脂肪,碳水化合物,成本
速食食品,薯条(肯德基),1289,309,4.3,15.5,40.5,2
速食食品,比萨饼(夹奶酪),949,228,12.2,5.1,32.5,3
速食食品,比萨饼(夹奶酪、肉和蔬菜),989,237,16.5,6.8,26.9,3.5
速食食品,三明治(夹火腿、干酪),1020,245,14.2,10.6,22.8,2.5
速食食品,三明治(夹鸡蛋、干酪),973,233,10.7,13.3,17.7,2.2
速食食品,三明治(夹鸡肉片，无调料酱),1186,284,13.3,16.2,21.2,2
速食食品,三明治(夹烤牛肉片),1040,249,15.5,9.9,24.1,2.5
速食食品,三明治(夹鱼肉片),1151,276,10.7,14.4,25.9,2.3
速食食品,干酪汉堡包(夹熏肉，加调料酱),1301,312,16.4,18.9,19,2.5
速食食品,干酪汉堡包(普通型，夹单层肉饼，无调料酱),1327,318,14.5,14.9,31.1,2
速食食品,干酪汉堡包(普通型，夹奶酪、单层肉饼，加调料酱),1102,264,14.1,12.5,23.5,2.2
速食食品,干酪汉堡包(普通型，夹奶酪、单层肉饼，加调料酱和蔬菜),984,236,11.6,12.9,18.2,2.5
速食食品,干酪汉堡包(普通型，夹奶酪、双层肉饼、双层面包，加调料酱和蔬菜),1191,286,13,15.5,23.3,3
速食食品,汉堡包(普通型，夹肉饼，加调料酱和蔬菜),1076,258,11.7,12.3,24.8,2.5
速食食品,热狗(原味),1041,250,10.6,14.8,18.4,2
速食食品,麦片,1551,372,12.4,7.4,67.3,1.5
速食食品,燕麦片,1593,382,15,6.7,66.9,2
速食食品,玉米片(即食粥),1655,397,7.2,3.7,82.3,1.5
速食食品,早餐奶,285,68,2.3,3.1,7.7,0.8
速食食品,八宝粥(康师傅牌),344,82,1.5,4.4,9.4,1.5
速食食品,八宝粥(亲亲牌),326,78,2.1,4,8.8,1.4
速食食品,八宝粥(同茂牌),199,48,1.3,0.2,10.2,1.3
速食食品,八宝粥(娃哈哈牌),274,66,1.7,0.9,12.8,1.5
速食食品,糯米饭团,1393,334,5.9,17.6,38.3,1.5
速食食品,什锦炒饭,779,187,5,5.6,29.7,2.5
速食食品,虾仁炒饭,566,136,4.7,1.7,26.3,3
速食食品,面包(均值),1322,317,8.3,5.1,58.6,2
速食食品,法式牛角面包,1587,381,8.4,14.3,54.6,2.5
速食食品,果料面包,1184,284,8.5,2.1,57,2.2
速食食品,黄油面包,1393,334,7.9,8.7,55.6,2
速食食品,维生素面包,1180,283,8.8,5.6,48.6,1.8
速食食品,八宝粥(无糖，娃哈哈牌),202,48,1.6,0.8,9.3,1.6
速食食品,八宝粥(椰树牌),311,75,1.7,1,15.5,1.5
速食食品,黑芝麻糊粉,1756,421,6.9,7.5,82.3,1.5
速食食品,麦片,1708,410,6.5,9.7,76.3,1.5
速食食品,麦片(原味香奶),1764,423,4.7,9,82.8,1.6
速食食品,燕麦片,1595,382,14.4,9.7,65.3,2
速食食品,燕麦片(果仁、甜),1749,419,8.9,11.1,73.5,2.5
速食食品,苦荞麦片(无糖),1741,418,7.2,8,77.9,2
速食食品,葡萄干面包,1099,264,6.6,3.7,50.1,2.2
速食食品,饼干(均值),1832,439,9,12.7,71.7,2
速食食品,苏打饼干,1723,413,8.4,7.7,76.2,1.5
速食食品,饼干(三明治),2188,525,7.1,30.4,57.9,2
速食食品,饼干(夹心),1928,462,6.2,15.9,75.3,2.5
速食食品,饼干(甜酥夹心),2330,559,5.6,35.1,55.6,2.8
速食食品,饼干(苏打夹心),1983,476,7.6,19.3,69.8,2.2
速食食品,曲奇饼(加奶油),2201,528,6.4,27.2,63.9,3
速食食品,水饺(三鲜馅),1028,247,8.8,12.3,26.6,2.5
速食食品,水饺(猪肉白菜馅),940,225,7.5,10.8,26,2
速食食品,水饺(猪肉韭菜馅),1068,256,7,14.4,26,2.2
速食食品,水饺(猪肉芹菜馅),1084,260,7,16.8,22.1,2.1
速食食品,水饺(猪肉茴香馅),961,230,7.3,9.1,31.1,2.3
速食食品,水饺(猪肉香菇馅),961,230,12.3,15.3,11.5,2.4
速食食品,水饺(猪肉虾仁馅),1116,268,10,15.4,22.7,2.8
速食食品,水饺(鸡肉蘑菇馅),768,184,7.4,7.4,22.7,2.5
速食食品,玉米片,1579,379,7,0.8,86,1.5
速食食品,玉米片(低钠),1642,394,7.7,0.3,88.8,1.6
速食食品,方便面,1983,476,9.5,21.1,61.6,1.5
速食食品,干脆面(鸡汁味),2122,509,11.4,27,55.2,1.2
速食食品,海鲜味方便面(含调味料),1901,456,10.4,19.2,60.1,1.5
速食食品,海鲜味方便面面饼,1515,363,10.4,,78.7,1
速食食品,海鲜方便面调味料,1695,406,10.2,,89.5,0.5
速食食品,红烧牛肉方便面(含调味料),1887,453,10.2,17.9,62.6,1.5
速食食品,红烧牛肉方便面面饼,1561,374,10.4,,81.4,1
速食食品,红烧牛肉方便面调味料,1408,338,6.8,,76,0.5
速食食品,鳕鱼方便面(含调味料),1975,474,10.2,24.2,53.7,1.6
速食食品,鳕鱼方便面面饼,1542,370,10.2,,80.5,1.1
速食食品,鳕鱼方便面调味料,350,84,10.2,,10.4,0.5
速食食品,铁板牛肉炒面(含调味料),1868,448,11.7,18.8,59.3,1.8
速食食品,铁板牛肉炒面面饼,1547,371,12,,81.3,1.2
速食食品,铁板牛肉炒面调味料,1341,322,10.1,,68.8,0.6
速食食品,玉米红烧牛肉味方便面(含调味料),1405,337,5.8,4.1,68.5,1.6
速食食品,玉米红烧牛肉味方便面面饼,1263,303,6,,68.3,1.1
速食食品,玉米红烧牛肉味方便面调味料,1391,334,3.6,,78.2,0.5
速食食品,海鲜鸡汁味米线(含调味料),713,171,4.5,1,35.5,1.5
速食食品,海鲜鸡汁味米线面饼,699,168,3.9,,37.2,1
速食食品,海鲜鸡汁味米线调味料,1295,311,7.2,,69,0.5
速食食品,冬菜虾仁馄饨,744,178,9.1,4.3,26.5,2.5
速食食品,韭菜合子,878,211,7.5,11.3,20.3,2
速食食品,海苔,1117,268,29.4,4.8,50.4,1.5
速食食品,香菇片,1492,358,9.9,12.4,61.9,1
速食食品,薯片(烧烤味),2317,556,7.5,37.6,49.2,1.5
速食食品,薯片(香辣味),2350,564,7.4,40,46.6,1.6
速食食品,薯圈,2432,583,1.3,42.6,51.7,1.5
速食食品,怪味胡豆,1767,424,12.6,12.1,69.6,1.5
速食食品,奶油五香豆,1169,280,26.2,2,54,1.2
速食食品,夹心米果,2480,595,5,41.9,50.4,1.5
速食食品,水饺(海鳗猪肉馅),1043,250,14.3,17.7,8.5,2.8
速食食品,水饺(海鳗虾仁馅),1114,267,12.3,20,9.7,3
速食食品,包子(三鲜馅),939,225,7.4,8.6,29.1,2
速食食品,包子(猪肉馅),965,231,7.3,10,28.6,1.8
速食食品,酥香兰花豆,1759,422,12.8,13.6,61.7,1.5
速食食品,雪米饼,1968,472,5.5,17.6,73.5,1.2
速食食品,蛋酥卷,2261,542,8.1,35.3,53.7,1.5
速食食品,巧克力派,1813,435,4.3,17.7,65.7,2
速食食品,法式卷饼,2272,545,7.6,34,54.7,1.5
速食食品,立体脆,2041,489,6,24.7,63.8,1.2
速食食品,粟米脆,2322,557,5.6,34.7,56.5,1
速食食品,通心脆,2138,513,3.1,29.6,61.6,1.2
速食食品,洋葱圈,2010,482,4.3,21.3,68.5,1.5
速食食品,虾片,2243,538,5.3,30.9,59.5,1
速食食品,锅巴(豆香),2235,536,7.6,30.6,59.2,1.2
速食食品,锅巴(小米),2350,564,6,36.9,54.6,1
饮料类,可口可乐,184,44,0.1,0,10.7,0.6
饮料类,甘蔗汁,277,66,0.4,0.1,16,1
饮料类,菠萝汁饮料(大湖牌),153,37,0.3,0.2,8.3,1.5
饮料类,苹果汁饮料(光明牌),229,55,0.1,0.3,12.8,1.2
饮料类,橙汁饮料(光明牌),187,45,0.7,0.1,10.2,1.2
饮料类,橙汁饮料(茹梦牌),194,47,0.3,0.2,10.8,1.5
饮料类,橙汁饮料(汇源牌),195,47,0.5,0,11,1.3
饮料类,橙汁饮料(三得利牌),200,48,Tr,0,12.8,1.5
饮料类,冰棍,200,48,0.8,0.2,10.5,1
饮料类,冰淇淋,531,127,2.4,5.3,17.3,2
饮料类,冰淇淋(草莓味),641,154,2.7,3.2,28.5,2.2
饮料类,冰淇淋(苦咖啡味),858,206,2.9,10.1,25.6,2.5
饮料类,冰淇淋(加奶油),882,212,3.5,12.8,20.5,2.3
饮料类,冰淇淋(草莓圣代),616,148,2.9,2.6,27.7,2.5
饮料类,冰淇淋(巧克力圣代),731,175,3.6,4.8,29,2.8
饮料类,冰淇淋(脆皮甜筒),668,160,3.5,5.5,23.9,3
饮料类,山楂果肉饮料,232,56,0.1,0.2,13.5,1.5
饮料类,酸枣果汁饮料,116,28,0.1,0,6.7,1.2
饮料类,西番莲汁饮料,211,51,0.2,0.1,12,1.5
饮料类,西柚汁饮料,146,35,0.6,0.4,7.3,1.8
饮料类,椰子汁饮料,213,51,0.7,2.4,6.6,1.5
饮料类,杏仁椰汁饮料,167,40,0.6,0.1,9,1.8
饮料类,胡萝卜汁饮料,105,25,0.1,0,6.3,1.2
饮料类,AD钙奶,232,56,1.1,0.1,12.3,0.8
速食食品,乐芙球,2455,589,7.6,45,43.9,1.5
速食食品,玉米花,1787,429,10.8,13.4,70.4,1
速食食品,果仁脆枣,2063,495,13,25.6,55.1,2
速食食品,空心脆枣,1627,390,6.5,1.2,88.6,1.5
速食食品,果冻(草莓水果冻),302,72,0.1,0.2,17.2,1.5
速食食品,果冻(蒟蒻冻),431,103,0,Tr,25.6,1.8
速食食品,果冻(蒟蒻椰果冻),468,112,0,Tr,27.8,2
速食食品,果冻(AD钙果冻),297,71,0.1,0.4,16.5,1.6
饮料类,健康快车奶饮料,158,38,1.1,0.6,6.9,0.8
饮料类,酸乳饮料(发酵),229,55,0.7,0.3,12.1,0.6
饮料类,核桃乳(儿童型),183,44,0.8,2.1,5.4,1.5
饮料类,核桃乳(女性型),222,53,0.9,2.7,6.3,1.6
饮料类,核桃乳(中老年型),216,52,0.9,2.9,5.5,1.5
饮料类,核桃乳(佐餐调和型),213,51,0.8,2.9,5.4,1.4
饮料类,杏仁露,205,49,0.7,2.1,6.8,1.5
饮料类,茶（绿茶）,1381,331,34.2,2.3,50.3,1
饮料类,可可粉,1464,351,20.9,8.4,54.5,1.5
饮料类,麦乳精,1812,435,8.5,9.7,77,1.2
饮料类,酸梅晶,1676,402,0.2,,98.4,1
饮料类,高乐高营养饮品,1681,403,5.8,2.4,88.4,1.5
饮料类,果珍,1727,414,0.1,2.2,96.7,1.2
饮料类,柠檬茶,1724,413,0.2,1.7,97.5,1.5
饮料类,咖啡豆,1292,310,17.1,8.8,68.9,5
饮料类,咖啡粉,1508,362,12.2,0.5,75.4,3
饮料类,冰淇淋(花心筒),1173,281,4.2,13.1,36.7,3.5
饮料类,冰淇淋(金白合),854,205,3.3,10.5,24.5,3
饮料类,雪糕(百乐宝),619,148,2.8,6.2,20.1,1.5
饮料类,雪糕(红豆缘),909,218,2.7,4.8,41.2,1.8
饮料类,棒冰(可乐冰),311,75,Tr,1,17.1,1.2
饮料类,棒冰(七彩旋),403,97,Tr,1.1,22.3,1.5
含酒精饮料,啤酒(均值),80,19,0.4,,4.3,1.5
含酒精饮料,啤酒(4.3％，青岛牌),117,28,0.4,0,6.5,1.6
含酒精饮料,啤酒(4％，燕京牌),73,18,0.3,0,4,1.5
含酒精饮料,啤酒(5.1％，生力牌),126,30,0.4,0,7,1.8
含酒精饮料,葡萄酒(均值),175,42,0.1,,10.2,3
含酒精饮料,白葡萄酒,161,39,0.1,,9.4,2.5
含酒精饮料,红葡萄酒,180,43,0.1,,10.5,3.5
含酒精饮料,葡萄酒(干白，11％，长城牌),173,41,0.1,0,10.1,3
含酒精饮料,加饭黄酒,102,24,1.6,,4.4,2
含酒精饮料,江米酒,233,56,1.6,,12.1,1.5
含酒精饮料,绍兴黄酒(15度),206,49,,,12.1,2.5
含酒精饮料,花雕酒(16.5％),355,85,1,0,19.9,3
含酒精饮料,崇明老白酒,724,174,,,42.6,2
含酒精饮料,低度汉酒(37.2度),524,126,,,30.8,2.5
含酒精饮料,二锅头(58度),852,204,,,50.1,3
含酒精饮料,甘州大曲,758,182,,,44.6,2.5
含酒精饮料,葡萄酒(干白，12％，张裕牌),196,47,0.3,0,11.2,3.2
含酒精饮料,葡萄酒(半干白，11.5％，王朝牌),190,46,0.3,0,10.9,3
含酒精饮料,葡萄酒(干红，11.5％，长城牌),187,45,0.2,0,10.8,3.5
含酒精饮料,葡萄酒(干红，11.5％，王朝牌),192,46,0.3,0,11,3.4
含酒精饮料,葡萄酒(干红，12％，张裕牌),195,47,0.3,0,11.2,3.6
含酒精饮料,黑加仑酒(8％),137,33,Tr,0.2,8.6,2
含酒精饮料,雪利酒,360,86,0.1,0,21.1,2.5
含酒精饮料,黄酒,173,41,1.6,,8.6,2
含酒精饮料,宁河大曲,762,183,,,44.8,2.5
含酒精饮料,宁河二曲,763,183,,,44.9,2.2
含酒精饮料,曲酒(55度),802,192,,,47.2,2.8
含酒精饮料,三粮小麦(55度),802,192,,,47.2,3
含酒精饮料,丝路春酒,765,183,,,45,2.5
含酒精饮料,特制汉酒(59.9度),884,212,,,52,3.5
含酒精饮料,特制三粮酒(56.2度),823,197,,,48.4,3.2
含酒精饮料,乌林春酒(青稞酒),833,200,,,49,2.5
含酒精饮料,五酿春(44.4度),632,152,,,37.2,2.4
含酒精饮料,小麦酒(48度),689,165,,,40.5,2.5
含酒精饮料,小麦酒(50度),721,173,,,42.4,2.6
含酒精饮料,燕岭春(57度),835,200,,,49.1,3
含酒精饮料,醉流霞(57度),835,200,,,49.1,3
含酒精饮料,董酒(浓香型，46％),660,158,Tr,0,39.8,3.5
含酒精饮料,二锅头(56%),819,196,Tr,0,49.2,2.8
含酒精饮料,汾酒(清香型，53％),770,185,Tr,0,46.3,3
含酒精饮料,酸味威士忌(16.8%),391,94,0,0,23,2.5
糖、果脯和蜜饯、蜂蜜,糖（白砂糖）,1698,407,,,99.9,1
糖、果脯和蜜饯、蜂蜜,糖（绵白糖）,1683,404,0.1,,98.9,1.2
糖、果脯和蜜饯、蜂蜜,糖（冰糖）,1688,405,,,99.3,1.5
糖、果脯和蜜饯、蜂蜜,糖（红糖）,1654,397,0.7,,96.6,1.2
糖、果脯和蜜饯、蜂蜜,花生牛轧糖,1820,436,4.9,12.3,75.4,2
糖、果脯和蜜饯、蜂蜜,奶糖,1723,413,2.5,6.6,84.5,1.5
糖、果脯和蜜饯、蜂蜜,巧克力,2451,588,4.3,40.1,53.4,3
糖、果脯和蜜饯、蜂蜜,巧克力(维夫)[朱古力威化],2394,574,8.2,38.4,49.7,2.5
含酒精饮料,古井贡酒(浓香型，38％),541,130,Tr,0,32.8,3
含酒精饮料,剑南春(52％),758,182,Tr,0,45.6,3.5
含酒精饮料,剑南春(浓香型，38％),541,130,Tr,0,32.8,3
含酒精饮料,京酒(浓香型，38％),537,129,Tr,0,32.6,2.5
含酒精饮料,茅台酒(53％),770,185,Tr,0,46.3,10
含酒精饮料,五粮液(52％),755,181,Tr,0,45.4,8
含酒精饮料,竹叶青酒(45％),821,197,Tr,0,49.3,3
含酒精饮料,金奖白兰地(38％),556,133,Tr,0,33.7,2.5
含酒精饮料,伏特加,568,136,0,0,33.4,2
含酒精饮料,威士忌,614,147,0,0,36.1,2.5
含酒精饮料,苹果酒(干型),128,31,Tr,0,7.5,1.5
含酒精饮料,苹果酒(甜),150,36,Tr,0,8.8,1.8
含酒精饮料,果汁朗姆酒(9.9%),630,151,0.4,1.9,32.5,2
含酒精饮料,鸡尾酒,221,53,0,0,13,3
含酒精饮料,马提尼酒(32%),610,146,0,0,35.9,2.5
含酒精饮料,曼哈顿酒(30.6%),575,138,0.1,0,33.7,2.4
含酒精饮料,汉口白酒(49.6度),716,172,,,42.1,2.5
含酒精饮料,汉口小麦酒(40.7度),576,138,,,33.9,2.2
含酒精饮料,黄鹤楼酒(39度),551,132,,,32.4,2.5
含酒精饮料,精制小麦酒,578,139,,,34,2
含酒精饮料,景泰大曲,738,177,,,43.4,2.5
含酒精饮料,景泰二曲,697,167,,,41,2.2
含酒精饮料,酒泉酒,833,200,,,49,2.5
含酒精饮料,凉洲曲酒,765,183,,,45,2.4
糖、果脯和蜜饯、蜂蜜,酥糖,1866,447,6,13.9,75.6,1.5
糖、果脯和蜜饯、蜂蜜,酸三色糖,1688,405,,0.4,98.4,1.2
糖、果脯和蜜饯、蜂蜜,夹心糖,2072,497,2.6,20.7,74.2,1.5
糖、果脯和蜜饯、蜂蜜,水果味软糖,1567,376,6,0.3,85.6,1.2
糖、果脯和蜜饯、蜂蜜,牛奶糖,1840,441,2.2,8.2,88.2,1.5
糖、果脯和蜜饯、蜂蜜,酸奶软糖,1713,411,Tr,1.6,98.3,1.6
糖、果脯和蜜饯、蜂蜜,太妃糖,1906,457,3.7,16.5,72.8,2
糖、果脯和蜜饯、蜂蜜,巧克力(充气),2284,548,9.2,32.8,54.9,2.5
糖、果脯和蜜饯、蜂蜜,金糕条[山楂条],1286,308,0.6,0.6,74.6,1.5
糖、果脯和蜜饯、蜂蜜,山楂果丹皮,1383,332,1,0.8,80,1.2
糖、果脯和蜜饯、蜂蜜,冰糖酸角,1148,275,2.3,0,68.9,1.5
糖、果脯和蜜饯、蜂蜜,甘草杏,758,182,2.7,1.1,46.1,1.2
糖、果脯和蜜饯、蜂蜜,清凉杏肉,1350,324,2,0.2,79,1.5
糖、果脯和蜜饯、蜂蜜,雪梅,1207,289,3.1,1.1,72.4,1.2
糖、果脯和蜜饯、蜂蜜,九制梅肉,1226,294,3.4,3.2,70.8,1.5
糖、果脯和蜜饯、蜂蜜,九制西梅,1082,259,2.6,1.2,65.9,1.8
糖、果脯和蜜饯、蜂蜜,巧克力(果仁),2218,532,9.9,33.5,53.5,3.5
糖、果脯和蜜饯、蜂蜜,巧克力(黑),2247,539,4.2,30,65.8,4
糖、果脯和蜜饯、蜂蜜,巧克力(牛奶),2416,579,8.2,39.2,49.9,3.2
糖、果脯和蜜饯、蜂蜜,海棠脯,1232,295,0.6,0.2,72.6,1.5
糖、果脯和蜜饯、蜂蜜,李广杏脯,1243,298,2.8,0.3,72.1,1.8
糖、果脯和蜜饯、蜂蜜,苹果脯,1443,346,0.6,0.1,84.9,1.5
糖、果脯和蜜饯、蜂蜜,桃脯,1336,320,1.4,0.4,77.6,1.6
糖、果脯和蜜饯、蜂蜜,杏脯,1414,339,0.8,0.6,82,1.5
糖、果脯和蜜饯、蜂蜜,九制应子,770,185,2.3,0.6,48.6,1.5
糖、果脯和蜜饯、蜂蜜,梅脯,1345,323,0.3,1.1,78.8,1.2
糖、果脯和蜜饯、蜂蜜,阿胶枣,1431,343,2.5,0.2,82,2
糖、果脯和蜜饯、蜂蜜,黑贡枣,1348,323,2.7,0.9,78,1.5
糖、果脯和蜜饯、蜂蜜,多味山楂,1100,264,1.8,1.9,61.8,1.2
糖、果脯和蜜饯、蜂蜜,山楂脯,1090,261,0.5,0.6,62.9,1.5
糖、果脯和蜜饯、蜂蜜,地瓜干,1453,348,2.4,0.1,83.9,1
糖、果脯和蜜饯、蜂蜜,蜂蜜,1362,327,0.4,1.9,75.6,2
油脂类,牛油,3435,824,,92,1.8,3
油脂类,羊油,3392,813,,88,8,2.5
油脂类,猪油(炼),3689,885,,99.6,0.2,2
油脂类,油（菜籽油)[青油],3696,886,,99.9,0,1.5
油脂类,油（茶油),3696,886,,99.9,0,2
油脂类,豆油,3696,886,,99.9,0,1.2
油脂类,油（红花油),3698,887,,99.9,0.1,1.8
油脂类,油（胡麻油),3700,887,,100,0,1.5
油脂类,花生油,3696,886,,99.9,Tr,2
油脂类,葵花籽油,3696,886,,99.9,0,1.5
油脂类,油（辣椒油),3700,887,,100,0,1
油脂类,油（麦芽油),3698,887,,99.9,0.1,1.5
油脂类,油（棉籽油),3694,886,,99.8,0.1,1.2
油脂类,色拉油,3693,886,,99.8,0,1.5
油脂类,油（椰子油),3698,887,,99.9,0.1,2
油脂类,玉米油,3679,882,,99.2,0.5,1.5
糖、果脯和蜜饯、蜂蜜,蜂蜜(槐花),1536,368,0.2,0.3,89.5,2.2
糖、果脯和蜜饯、蜂蜜,蜂蜜(天麻),1386,332,5.2,0.3,75.7,2.5
糖、果脯和蜜饯、蜂蜜,蜂蜜(硬蜜),1392,334,0.3,0.5,80.5,2
糖、果脯和蜜饯、蜂蜜,蜂蜜(油菜花),1437,345,0.2,0.3,83.7,2.1
油脂类,大豆色拉油,3698,887,0,99.9,0.1,1.6
油脂类,色拉油,3694,886,0,99.7,0.3,1.5
油脂类,芝麻油[香油],3692,885,,99.7,0.2,2
油脂类,油（棕榈油),3700,887,,100,0,1.2
油脂类,油（橄榄油),3698,887,,99.9,0.1,3
油脂类,核桃油,3680,882,0,99.1,0.8,2.5
油脂类,栗米油[玉米胚芽油],3700,887,0,100,0,1.8
油脂类,米糠油,3674,881,0,98.7,1.3,1.5
油脂类,油茶籽油,3693,886,0,99.8,0,2
油脂类,芝麻油[香油],3692,885,0,99.7,0.2,2
调味品类,酱油(均值),269,65,5.6,0.1,10.1,1.5
调味品类,黄豆酱油,165,40,5.1,0.2,4.2,1.2
调味品类,老抽,550,132,7.9,0.3,23.8,1.5
调味品类,生抽,85,20,4.8,0.1,0,1.8
调味品类,醋(均值),130,31,2.1,0.3,4.9,1
调味品类,白醋,24,6,0.1,0.6,Tr,0.8
调味品类,陈醋,482,116,9.8,0.3,17.9,1.2
调味品类,豆瓣酱,760,182,13.6,6.8,17.1,1.5
调味品类,花生酱,2481,595,6.9,53,25.3,2
调味品类,黄酱[大酱],582,140,12.1,1.2,21.3,1.2
调味品类,辣椒酱[辣椒糊],148,35,0.8,2.8,3.2,1.5
调味品类,甜面酱,588,141,5.5,0.6,28.5,1.2
调味品类,五香豆豉,1143,274,24.1,3,39.7,1.5
调味品类,芝麻酱,2609,626,19.2,52.7,22.7,2
调味品类,郫县辣酱,447,107,4,1,24.8,1.8
调味品类,海鲜酱(阿香婆),2051,492,3,41.1,28.2,2
调味品类,番茄酱,359,86,4.9,0.2,16.9,1.5
调味品类,苹果酱,1181,283,0.4,0.1,69,1.2
调味品类,桃酱,1166,280,0.4,0.2,68,1.3
调味品类,杏酱,1216,292,0.2,0.3,70.9,1.2
调味品类,草莓酱,1215,291,0.3,1.1,69.3,1.5
调味品类,番茄沙司,488,117,1,0.2,28,1.2
调味品类,腐乳(白)[酱豆腐],562,135,10.9,8.2,4.8,1.5
调味品类,腐乳(臭)[臭豆腐],549,132,11.6,7.9,3.9,1.2
调味品类,酱八宝菜,526,126,5.6,6.1,13.8,1.5
调味品类,麻仁金丝,278,67,3.1,0.6,12.7,1.2
调味品类,腌大头菜,281,67,7,0.2,11.3,1
调味品类,腌芥菜头,110,26,2.4,0.1,5.6,1.2
调味品类,腌韭菜花,123,29,2.8,0.6,3.7,1.5
调味品类,腌萝卜条,230,55,0.6,0.3,15.3,1
调味品类,榨菜(鱼泉牌),162,39,1.8,2,4.8,1.5
调味品类,榨菜(正林牌),69,17,1.5,0.1,4.1,1.6
调味品类,牛肉酱(阿香婆),2074,497,6.2,43,22.2,2.5
调味品类,花生酱,2697,647,22.2,53.1,20.9,2
调味品类,花生酱(加巧克力),2685,644,19.6,55.4,22.1,2.2
调味品类,芝麻酱,2884,692,18,66.8,9.4,2
调味品类,千岛沙拉酱,1972,473,2.3,43.4,19.8,1.5
调味品类,沙拉酱,2980,715,2.8,78.8,1,1.2
调味品类,奶油攀司,2518,604,2.9,42,53.8,1.5
调味品类,草莓酱,1146,275,0.8,0.2,66.3,1.5
调味品类,胡椒粉,1531,367,9.6,2.2,76.9,1
调味品类,花椒,1315,315,6.7,8.9,66.5,1.5
调味品类,五香粉,1511,362,1,8,73.3,1.2
调味品类,咖喱粉,1416,340,13,12.2,63.3,1.5
调味品类,精盐,0,0,,,0,0.5
调味品类,味精,1140,273,40.1,0.2,26.5,1
调味品类,鸡精,832,200,10.7,2.8,32.5,1.2
调味品类,酵母(鲜),451,108,2.6,,23.9,1
调味品类,腐乳(红)[酱豆腐],638,153,12,8.1,8.2,1.5
调味品类,腐乳(香辣味),659,158,13.1,11.6,0.7,1.6
调味品类,腐乳[酱豆腐](白，王致和牌),643,154,12.3,11.6,0.6,1.8
调味品类,萝卜干,281,67,3.3,0.2,14.6,1
调味品类,榨菜,140,34,2.2,0.3,6.5,1.5
调味品类,蕨菜(腌),109,26,2.5,0.3,4.4,1.2
调味品类,腌雪里红,121,29,2.4,0.2,5.4,1
调味品类,剁辣椒,173,41,1.4,0.5,10.8,1.5
调味品类,酵母(干),1575,378,47.6,1.7,45.5,1.2
调味品类,料酒,5,1,0.3,Tr,0,1
